Repository URL,Linked Databases,"description
(yes/no)","keywords
(yes/no)","readme
(yes/no)","codeofconduct
(yes/no)","license
(type)","purpose
(why?)",notes
https://github.com/rastogi-s/Information-Retrieval,"[USGS Earthquake Hazards Program,International Laser Ranging Service,World Data Center for Geomagnetism, Kyoto,Incorporated Research Institutions for Seismology]",,,,,,,
https://github.com/rdsleeman/documentation,"[GEOFON,EIDA]",,,,,,,
https://github.com/redpony/cmu-mt-11731,[The World Atlas of Language Structures],,,,,,,
https://github.com/regro/libcfgraph,"[NCEI,ITIS]",,,,,,,
https://github.com/reidbaker/QuakesInOurMain,"[USGS Earthquake Hazards Program,British Geological Survey,Geoscience Australia]",,,,,,,
https://github.com/rmace001/Final-Project-Search-Engine,"[NCEI,National Center for Atmospheric Research,HydroShare,Polar Rock Repository,PDS]",,,,,,,
https://github.com/roicenir/serviceworker2,"[EDINA,NGEE Arctic]",,,,,,,
https://github.com/RonenNess/GeonBit,[GEON],,,,,,,
https://github.com/ropensci/roweb2,"[Remote Sensing Systems,Code Ocean,ITIS,PANGAEA,biodiversity.aq]",,,,,,,
https://github.com/rtakeshi/cap359-datamining,[Intermagnet],,,,,,,
https://github.com/rutu0309/R-Programming-Coursera,"[Data.gov.au,GOVDATA]",,,,,,,
https://github.com/ryhan/NLP-project,[The World Atlas of Language Structures],,,,,,,
https://github.com/sandan/CS378DataScienceFall2014,"[EM-DAT,Northern California Earthquake Data Center]",,,,,,,
https://github.com/scgordon/sampleMetadataCollections,"[EarthChem,EarthChem Library,NGEE Arctic]",,,,,,,
https://github.com/SciColl/GRSciColl,"[Consortium of Pacific Herbaria,Fishnet2,Polar Rock Repository]",,,,,,,
https://github.com/scriptrdotio/noaa,[Climate Data Online],,,,,,,
https://github.com/seisman/link.seisman.info,"[EarthByte,Northern California Earthquake Data Center,Incorporated Research Institutions for Seismology]",,,,,,,
https://github.com/seongjinpark-88/geo_identification,"[The Paleobiology Database,CARIBIC,U.S. Antarctic Program Data Center,PANGAEA,National Geoscience Data Centre,GSA Data Repository]",,,,,,,
